ticker,sector,rs,rs_mom,flow_z,wyckoff_score,wyckoff_phase,persistence_10d,stability,wls,sector_rank_pct
MRK,XLV,0.7882416078201857,0.008558478979619671,2.848050586814844,0.32909701882028786,NEUTRAL,3.0,1.8566198948036021,0.8736865352325862,1.0
LLY,XLV,7.3865527639387585,0.1010912168210345,1.1925545334795766,0.30380804320070354,NEUTRAL,4.0,1.3721953680352532,0.7219020871054955,0.9090909090909091
AMGN,XLV,2.233821999137395,0.005826566552186274,0.5410857890024318,0.3339875587698077,NEUTRAL,4.0,3.96251341392609,0.33306733783510295,0.8181818181818182
ABBV,XLV,1.4510964341896224,0.00888230796882955,0.5390533696225659,0.32874587210839823,NEUTRAL,3.0,3.8626525164827963,0.2733346747387777,0.7272727272727273
GILD,XLV,0.89324626674941,-0.02603865230744795,0.7332654599514594,0.34166894677689297,NEUTRAL,3.0,4.215978716407046,0.06030866913704874,0.6363636363636364
JNJ,XLV,1.499814936122683,-0.026592286388968378,0.6708939712066407,0.3420058112578378,NEUTRAL,3.0,3.746180946870621,-0.08026984044767099,0.5454545454545454
TMO,XLV,3.2984722119865144,0.03146654034388474,-0.045006225010739254,0.32011830046974665,NEUTRAL,2.0,1.6829214496351137,-0.1928272910461774,0.45454545454545453
PFE,XLV,0.17395398878859833,-0.027291439000623363,0.13752707332503328,0.34350319060742085,NEUTRAL,3.0,4.436873316752137,-0.3324260640311904,0.36363636363636365
UNH,XLV,2.5406632451233153,-0.008232905816937475,-0.17777853295955512,0.3315951097274167,NEUTRAL,1.0,4.084708491117743,-0.49319036745801276,0.2727272727272727
ABT,XLV,0.580721106581397,-0.040710594565738556,0.31752293246042446,0.33029572869332424,NEUTRAL,3.0,3.5781848000171816,-0.863115435264906,0.18181818181818182
ISRG,XLV,2.811583418030251,-0.10583850323186761,-0.02512149800618892,0.34066925069019605,NEUTRAL,2.0,5.038126171741447,-1.0785051018721705,0.09090909090909091
